,Char,Team,Batting Pos.,Hits,At Bats,Singles,Doubles,Triples,Homeruns,Total Bases,RBIs,Walks Taken,Sac Flys,Plate Appearances,Steals,Runs,Big Plays,IP,Earned Runs,K's,Walks Pitched,Hits Allowed,Wins,Pitches,Star Pitches
1936,Bowser 1,MattGree,1,1,3,0,0,0,1,4,3,0,0,3,0,1,0,7.0,4,7,0,9,0,71,0
1937,Magikoopa(Y) 1,MattGree,2,1,3,1,0,0,0,1,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
1938,Bowser Jr 1,MattGree,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1939,Bro(F) 1,MattGree,4,1,3,0,0,0,1,4,2,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
1940,Toad(R) 1,MattGree,5,2,3,2,0,0,0,2,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1941,Noki(B) 1,MattGree,6,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1942,Waluigi 1,MattGree,7,0,1,0,0,0,0,0,0,2,0,3,0,2,0,0.0,0,0,0,0,0,0,0
1943,Baby Mario 1,MattGree,8,2,3,2,0,0,0,2,0,0,0,3,0,2,0,0.0,0,0,0,0,0,0,0
1944,Birdo 1,Nuche,0,3,5,3,0,0,0,3,0,0,0,5,0,2,1,0.0,0,0,0,0,0,0,0
1945,DK 1,Nuche,1,3,5,1,0,0,2,9,6,0,0,5,0,3,0,0.0,0,0,0,0,0,0,0
1946,Petey 1,Nuche,2,2,5,0,0,0,2,8,4,0,0,5,0,2,0,0.0,0,0,0,0,0,0,0
1947,Luigi 1,Nuche,3,2,5,1,0,0,1,5,1,0,0,5,0,2,1,0.0,0,0,0,0,0,0,0
1948,Peach 1,Nuche,4,2,5,1,0,0,1,5,1,0,0,5,0,2,0,4.333333,9,4,0,10,0,69,0
1949,Toadsworth 1,Nuche,5,3,5,1,2,0,0,5,1,0,0,5,0,1,0,0.0,0,0,0,0,0,0,0
1950,Toad(Y) 1,Nuche,6,2,4,1,1,0,0,3,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
1951,Monty 1,Nuche,7,2,4,2,0,0,0,2,1,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
1952,Shy Guy(G) 1,Nuche,8,3,4,2,0,0,1,6,3,0,0,4,0,3,0,2.333333,0,3,0,5,1,40,0
1953,Paratroopa(G) 1,BennyOkay,0,2,4,2,0,0,0,2,0,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
1954,King Boo 1,BennyOkay,1,2,4,1,0,0,1,5,2,0,0,4,0,2,0,0.666667,8,0,0,8,0,15,0
1955,Boo 1,BennyOkay,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,6.0,9,4,0,13,0,59,0
1956,Noki(G) 1,BennyOkay,3,4,4,4,0,0,0,4,0,0,0,4,0,2,1,0.0,0,0,0,0,0,0,0
1957,Pianta(R) 1,BennyOkay,4,3,4,1,0,0,2,9,6,0,0,4,0,2,2,0.0,0,0,0,0,0,0,0
1958,Noki(R) 1,BennyOkay,5,2,4,2,0,0,0,2,0,0,0,4,0,0,1,0.0,0,0,0,0,0,0,0
1959,Dry Bones(Gy) 1,BennyOkay,6,1,4,0,0,0,1,4,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
1960,Baby Luigi 1,BennyOkay,7,1,4,1,0,0,0,1,0,0,0,4,0,0,0,0.333333,1,0,0,1,0,2,0
1961,Goomba 1,BennyOkay,8,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1962,Magikoopa(B) 1,Flatbread,0,2,4,1,0,0,1,5,1,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
1963,Magikoopa(G) 1,Flatbread,1,2,4,2,0,0,0,2,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
1964,Bowser Jr 1,Flatbread,2,1,4,1,0,0,0,1,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
1965,Pianta(B) 1,Flatbread,3,3,4,2,0,0,1,6,2,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
1966,Pianta(Y) 1,Flatbread,4,2,4,0,1,0,1,6,1,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
1967,Luigi 1,Flatbread,5,2,4,1,0,0,1,5,1,0,0,4,0,2,2,0.0,0,0,0,0,0,0,0
1968,Toadette 1,Flatbread,6,2,4,2,0,0,0,2,0,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
1969,Toad(P) 1,Flatbread,7,1,4,0,0,0,1,4,2,0,0,4,0,1,0,7.0,4,3,1,9,1,55,0
1970,Dry Bones(B) 1,Flatbread,8,1,4,0,0,0,1,4,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
1971,Paratroopa(G) 1,BennyOkay,0,3,4,2,1,0,0,4,0,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
1972,King Boo 1,BennyOkay,1,2,4,0,0,0,2,8,4,0,0,4,0,2,0,3.333333,7,2,0,10,0,42,0
1973,Boo 1,BennyOkay,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3.666667,1,3,0,6,0,27,0
1974,Noki(G) 1,BennyOkay,3,1,2,1,0,0,0,1,0,1,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1975,Pianta(R) 1,BennyOkay,4,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1976,Noki(R) 1,BennyOkay,5,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1977,Dry Bones(Gy) 1,BennyOkay,6,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1978,Baby Luigi 1,BennyOkay,7,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
1979,Goomba 1,BennyOkay,8,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1980,Noki(G) 1,Hellzhero,0,1,4,0,1,0,0,2,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
1981,Magikoopa(R) 1,Hellzhero,1,4,4,3,1,0,0,5,0,0,0,4,0,4,0,0.0,0,0,0,0,0,0,0
1982,Bro(B) 1,Hellzhero,2,3,3,2,0,0,1,6,3,1,0,4,0,3,0,0.0,0,0,0,0,0,0,0
1983,Peach 1,Hellzhero,3,1,4,1,0,0,0,1,0,0,0,4,0,0,0,7.0,5,10,0,15,1,123,0
1984,Daisy 1,Hellzhero,4,2,4,0,0,0,2,8,6,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
1985,Daisy 2,Hellzhero,5,0,3,0,0,0,0,0,1,0,1,4,0,0,0,0.0,0,0,0,0,0,0,0
1986,Toadette 1,Hellzhero,6,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
1987,Toad(Y) 1,Hellzhero,7,1,3,0,0,1,0,3,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1988,Baby Mario 1,Hellzhero,8,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1989,Waluigi 1,Super63,0,3,4,3,0,0,0,3,0,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
1990,Noki(G) 1,Super63,1,4,4,4,0,0,0,4,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
1991,King Boo 1,Super63,2,2,4,1,0,0,1,5,3,0,0,4,0,1,1,2.333333,1,3,0,4,0,37,0
1992,Birdo 1,Super63,3,2,4,1,1,0,0,3,1,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
1993,Shy Guy(Bk) 1,Super63,4,0,4,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0,0,0,0,0,0,0
